variance,skewness,curtosis,entropy,class
-4.454900,-2.497600,-0.795680,-1.170179,0
0.161080,6.462400,2.810236,-8.016377,0
-4.216400,-9.460700,4.401095,5.687303,0
-3.515200,-6.822400,0.357805,0.738839,0
-1.698800,-2.909400,0.345377,-2.885901,0
-1.060700,-2.454200,0.562201,-2.461153,0
-2.042100,-1.243600,-0.233457,-4.306643,0
-3.559400,-1.307800,-1.433260,-1.534099,0
-3.000900,-5.812600,0.308394,2.307249,0
-3.929400,-1.411200,-0.603995,-1.925795,0
-3.466700,4.072400,-0.851996,-4.476596,0
-3.966000,-3.921300,-0.222074,-0.749710,0
-1.019100,-2.330000,-0.047326,-5.002391,0
-0.964140,-5.616000,0.469786,-2.166989,0
-1.820500,-6.756200,-0.388386,-0.071630,0
-4.992300,-7.865300,0.343122,2.435157,0
1.180400,-11.509300,6.759791,0.913056,0
-4.032900,-0.231750,-1.028389,-1.064805,0
-0.660180,-10.387800,3.647437,1.998085,0
-3.598200,-7.130700,-0.413776,1.254213,0
1.858400,-7.886000,1.555412,1.931399,0
-4.097200,-0.469720,-0.643861,-1.789858,0
-3.329900,-0.912540,-0.141415,-1.622700,0
-3.108800,-3.112200,-0.301773,-0.866445,0
4.285900,-8.523400,1.396187,-2.957196,0
1.252800,-10.203600,5.875632,-1.275249,0
-0.519500,3.263300,1.456079,-2.897391,0
-0.329200,4.455200,1.691813,-4.360831,0
-0.888720,-5.344900,0.511076,-1.989545,0
-3.545800,-9.371800,3.276461,4.604339,0
0.216610,-8.032900,4.132313,-1.253800,0
-2.720600,-9.082100,0.438221,3.421781,0
-3.205100,-8.688900,0.318097,2.989872,0
-2.691700,-10.816100,3.719764,3.930288,0
2.324200,-11.517600,5.594021,-0.959819,0
-2.716100,4.200600,0.487960,-4.166361,0
-3.384800,-3.267400,-0.105883,-0.937779,0
-1.745200,-4.802800,-0.291956,-2.160066,0
-2.805000,-0.577320,-0.988365,-1.515675,0
-5.782300,-5.578800,-0.321051,2.388078,0
-3.899900,-1.734000,-0.705269,-1.732762,0
-3.518900,-6.332000,-0.258289,1.760368,0
-3.229400,-7.739100,2.450065,0.770926,0
-3.498500,-3.163900,0.198542,-0.198151,0
-2.194800,-1.378100,-0.665997,-1.278121,0
-2.252600,-9.963600,2.460870,3.604239,0
-4.152900,3.935800,0.465387,-2.825281,0
-0.743070,-11.170000,3.806402,2.002507,0
-1.910500,-8.871000,0.380894,2.428079,0
1.505500,-0.070346,1.574652,-6.704311,0
-0.588360,-10.772700,4.057126,2.048292,0
-3.230300,-7.838400,0.647176,3.681364,0
1.992200,-11.654200,5.561756,-1.806389,0
-2.852300,-9.009600,2.707665,4.236733,0
-4.277200,-2.495500,-0.280788,-0.536065,0
-1.509900,-0.039307,1.274811,-6.108987,0
-5.418800,-10.145700,3.014680,4.612386,0
-0.862020,-2.696300,0.130578,-4.323604,0
-3.811700,-10.145700,3.873742,4.710278,0
-0.547770,-10.375400,3.870586,2.175781,0
-2.371800,-7.490800,1.722462,0.256623,0
2.495300,-11.147200,3.723902,-1.369616,0
-4.636100,2.661100,-0.740720,-2.988467,0
2.252700,-11.532100,3.638545,-2.045895,0
-3.798200,-10.423000,4.260778,4.886898,0
0.362790,-8.289500,2.991605,2.419073,0
-2.126500,-6.878300,2.265096,-0.094666,0
-0.867360,-5.564300,0.427888,-1.629627,0
-3.783100,-10.052600,3.082551,4.423579,0
2.262300,-12.117700,7.707710,0.928726,0
-1.261600,-4.430300,1.521528,1.591109,0
-2.679900,-3.134900,-0.524387,-0.428032,0
0.398160,-5.978100,1.365424,-1.192280,0
-4.393700,-0.357980,-0.866244,-2.204248,0
-2.969500,-5.622200,1.184488,-0.091441,0
-1.304900,0.155210,1.759615,-6.293317,0
-2.212300,5.839500,2.057810,-7.539613,0
-1.964700,-6.938300,-0.565301,-0.673950,0
-3.086400,2.584500,0.043330,-2.251846,0
-0.379800,-0.709800,0.557381,-0.678358,0
-0.589820,-7.426600,3.116307,-0.757124,0
-0.147830,-7.946000,3.467810,-0.538343,0
0.062025,-6.197500,1.288997,-0.908542,0
-4.223000,-1.131900,-0.836397,-0.863492,0
-0.642950,-7.101800,0.462923,-0.280334,0
-1.941000,-0.463510,-0.347524,-4.760170,0
-4.004700,-0.459370,-1.385099,-1.598457,0
-3.776700,-9.779400,2.877544,4.411966,0
-3.476900,0.153140,-2.023563,-2.882038,0
-1.981800,-9.262100,1.298147,3.770496,0
-3.802300,3.869600,-0.309071,-4.143361,0
-4.348300,-11.107900,3.562383,4.700855,0
-1.151800,-1.386400,1.254832,-5.139679,0
1.257600,-1.589200,0.676938,-6.987937,0
-1.957200,5.115300,2.759421,-8.283009,0
2.484000,-12.161100,4.136940,-2.200330,0
1.149700,-1.295400,0.586142,-7.704158,0
-4.836800,-10.013200,3.597913,4.947651,0
0.121960,-8.806800,4.322596,-0.272816,0
-1.942900,-6.396100,-0.559436,-0.182004,0
-1.742000,4.809000,3.325449,-7.789892,0
1.522200,-10.840900,4.482264,-2.107466,0
1.300000,-10.267800,5.329656,3.833944,0
-3.424600,0.146930,-0.162090,-0.839107,0
-2.550300,4.951800,1.407780,-6.229369,0
-1.569100,-6.346500,2.351634,0.557541,0
-1.308700,-4.922800,0.095544,-2.011114,0
-5.177600,-8.231600,1.041494,3.456582,0
-2.229000,-9.632500,2.196086,3.498921,0
-5.627200,-10.085700,3.095652,4.836917,0
-1.213800,-8.798600,0.393662,2.256564,0
-0.379800,-0.709800,0.557381,-0.678358,0
-0.541500,-6.031900,0.718743,-1.589635,0
-4.052400,-5.680200,-0.334022,1.940944,0
-4.728500,-2.106500,-1.587542,0.035136,0
-3.435900,-0.662160,-1.539750,-2.374200,0
-0.868160,-10.242900,3.725577,2.099861,0
-3.359000,-9.802200,3.069863,4.354746,0
-3.670200,-2.994200,-0.169912,-0.888934,0
-1.334900,-6.118900,-0.419388,-0.537190,0
-3.188700,3.414300,0.634086,-2.708351,0
-2.452700,-2.965300,0.087103,-0.188910,0
-3.912100,-2.973500,-0.452872,-1.011822,0
-3.936400,-10.588500,3.677478,4.353888,0
-3.941400,3.290200,-0.577732,-3.298386,0
-3.692200,3.958500,-0.655523,-4.501872,0
-5.681000,-7.795000,0.494051,2.796516,0
-0.771240,-9.086200,1.289020,1.447569,0
-3.576100,-9.775300,2.798624,4.472363,0
-1.602000,-6.125100,-0.390173,-0.597634,0
-2.668200,-10.216000,3.419215,4.025848,0
-2.000700,-1.864400,-0.053448,-2.690587,0
-0.642150,-3.128700,0.032625,-4.341649,0
-4.384800,3.072900,-0.782493,-3.204157,0
-0.774450,-9.055200,0.994472,2.596436,0
-0.965740,-8.393000,1.234945,1.573561,0
-3.094800,-8.732400,0.501147,3.016232,0
-4.936200,-7.604600,0.476008,2.447497,0
1.945800,-11.221700,3.696603,-1.346198,0
-5.740300,0.442840,-1.299887,-0.590770,0
2.698900,-12.198400,8.548803,0.668953,0
-1.147200,-3.598500,0.731995,-1.846929,0
-2.974200,-8.960000,0.571086,3.029030,0
-4.570700,-7.209400,0.962990,3.472801,0
-0.184800,-6.507900,1.176629,-1.852036,0
-0.872560,-9.293100,2.048050,1.118456,0
-0.395590,-6.886600,0.833182,-0.940035,0
-3.838400,-6.185100,-0.286941,2.023930,0
-2.820900,-7.310800,1.727221,1.102339,0
-2.581700,-9.754600,2.462154,3.604442,0
-3.821300,-0.231750,-1.716133,-2.310205,0
-0.379800,-0.709800,0.557381,-0.678358,0
-3.489300,-6.690000,0.194361,1.249994,0
1.778100,-0.854600,1.088192,-7.046827,0
-2.096200,-2.476900,0.343612,-1.907633,0
-0.947320,0.571130,1.792360,-6.996046,0
-2.826100,-9.400700,0.521196,3.427127,0
-0.007125,-8.366100,3.847964,0.095318,0
-0.967880,-7.190700,2.626461,-0.879762,0
-4.743200,-2.108600,-1.612533,-0.393905,0
-3.657500,-7.279700,0.774934,2.420223,0
-3.883200,-6.402300,0.591071,2.555932,0
-3.477600,-8.811000,0.412681,3.293709,0
-1.131500,-7.921200,2.980364,-0.634581,0
-2.823700,-2.859700,-0.534135,-0.283832,0
-1.932100,-6.042300,2.068427,0.064173,0
-3.063200,3.331500,-0.013935,-5.196659,0
1.841100,-10.830600,3.485223,-2.251511,0
-2.808400,-11.304500,3.842593,3.989633,0
-2.569800,4.407600,0.859312,-5.924110,0
0.126240,-10.321600,5.462471,4.623542,0
-3.375600,4.095100,-0.373480,-4.480589,0
0.048008,1.603700,0.579598,-8.489450,0
-0.570600,0.024800,0.749487,-1.138876,0
-0.884440,-6.590600,0.523729,-0.482380,0
-3.864400,-3.706100,-0.237670,-0.750449,0
-1.299900,-2.576200,0.501878,-1.956274,0
-2.005100,6.863800,1.509269,-7.994322,0
-4.929400,-0.277270,-0.299950,-0.258019,0
-2.829700,-6.348500,0.464376,0.818178,0
-2.565000,-8.633000,0.823713,3.161885,0
-2.093000,-8.306100,3.235685,0.489353,0
-4.601400,-5.626400,-0.522901,2.067150,0
-5.061700,0.357990,-0.916462,-0.597705,0
0.295100,-9.048900,1.970825,0.845970,0
-3.577000,-2.400400,-0.427508,-1.982080,0
-3.943300,-2.501700,-0.653868,-1.644028,0
-2.664800,-10.754000,3.585396,4.009645,0
-5.937400,-6.166400,-0.044214,2.615788,0
-2.015300,-1.847900,0.067658,-3.165893,0
-5.878200,-5.940900,0.154610,2.914468,0
2.398300,-12.606000,6.178449,-2.004557,0
-1.762000,-4.368200,-0.410484,-2.230070,0
-4.240600,2.485200,-0.455144,-1.700132,0
-3.466900,-6.870000,0.557144,1.158216,0
-3.189600,-5.752600,0.268168,0.230154,0
-0.813560,-9.156600,3.793711,2.776855,0
-0.528550,-0.964270,1.664933,-3.810764,0
-2.131900,2.040300,0.460958,-2.516270,0
-0.331110,-4.573100,0.509121,-2.002004,0
-1.274600,-8.817200,1.533887,1.794344,0
-2.209100,-7.455600,3.053638,1.828607,0
-2.532800,-7.528000,2.549610,0.828335,0
-3.624400,-1.460900,-1.693456,-1.635146,0
1.388500,-12.502600,7.563887,0.498206,0
-5.722700,-5.831200,-0.134710,2.418401,0
-3.358300,-10.356700,3.070042,4.262843,0
-2.522700,-2.236900,-0.358535,-2.814336,0
-0.045304,-6.733400,1.089221,-0.911632,0
-4.827800,-7.759800,0.823436,2.610048,0
-1.947600,4.773800,3.177733,-8.129987,0
-2.765900,-0.662160,0.929672,-4.053877,0
0.106480,0.767710,0.579652,-7.762390,0
-0.722520,0.053811,2.221299,-5.389162,0
-4.247500,-1.481600,-1.017336,0.328447,0
-3.977200,-0.335210,-1.782866,-2.567107,0
-3.666700,-4.302000,-0.246267,-0.605206,0
-2.823200,-10.851300,3.437183,3.730219,0
1.421700,-11.654200,7.006030,1.168064,0
-4.245800,-1.198100,-0.831064,-0.806264,0
-4.103800,4.806900,1.010104,-3.230862,0
-1.450700,-8.790300,0.295331,2.307003,0
-3.464700,3.917200,0.265021,-3.982169,0
-1.853300,-6.145800,2.174171,-0.685930,0
-3.528800,-0.715960,-1.608489,-2.229775,0
-3.971900,-1.036700,-0.870124,-0.907014,0
-3.534000,-9.361400,0.662651,3.781822,0
-3.689400,-9.887000,3.674577,4.711639,0
-3.067200,4.411700,1.404938,-3.648944,0
-2.646300,4.815200,0.991159,-6.277130,0
-2.289300,-3.733000,0.491703,-0.561190,0
-1.567300,-7.927400,2.133799,0.395511,0
-4.040500,-0.515240,-0.931584,-1.188261,0
-4.384600,4.879400,0.555553,-3.320169,0
-2.016500,0.252460,-0.254173,-5.275411,0
-4.044600,-11.174100,3.999969,5.046058,0
0.337290,0.649760,0.484855,-7.684663,0
2.460400,-12.730200,7.691227,0.289355,0
-4.119500,-10.925800,3.519751,4.498899,0
-2.019300,-0.823560,-0.677344,-4.801980,0
-1.570100,-7.912900,2.213666,0.056813,0
-2.641500,-7.586000,1.602487,0.542989,0
-5.021400,-8.076400,1.217020,3.282294,0
-4.343500,-3.329500,-0.510777,-0.927300,0
-1.823800,6.774800,1.846787,-8.199346,0
